unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1769904000,2026-02-01T00:00:00.0000000Z,BTC-USDT,78739,78776.2,78682,78686.1,3.22619362,253856.593802682
1769904060,2026-02-01T00:01:00.0000000Z,BTC-USDT,78686,78686,78648,78674.1,4.42143073,347852.083395093
1769904120,2026-02-01T00:02:00.0000000Z,BTC-USDT,78674,78823,78673.1,78823,3.94372432,310856.18207536
1769904180,2026-02-01T00:03:00.0000000Z,BTC-USDT,78823.9,78906,78801.1,78864.1,11.89722392,938263.856949272
1769904240,2026-02-01T00:04:00.0000000Z,BTC-USDT,78864.1,78934.9,78847.2,78920.9,7.92447523,625406.717179307
1769904300,2026-02-01T00:05:00.0000000Z,BTC-USDT,78920.9,78942,78892.5,78911.1,5.58493613,440713.453448043
1769904360,2026-02-01T00:06:00.0000000Z,BTC-USDT,78911,78991,78895.1,78977,3.60758349,284916.12128973
1769904420,2026-02-01T00:07:00.0000000Z,BTC-USDT,78976.5,79025,78920.1,79025,2.93519319,231953.64183975
1769904480,2026-02-01T00:08:00.0000000Z,BTC-USDT,79025.3,79089.6,79013.1,79089.6,3.20371176,253380.281613696
1769904540,2026-02-01T00:09:00.0000000Z,BTC-USDT,79089.7,79159.9,79028.1,79159.9,5.3900062,426672.35179138
1769904600,2026-02-01T00:10:00.0000000Z,BTC-USDT,79160,79271.4,79160,79227,9.75315473,772713.18979371
1769904660,2026-02-01T00:11:00.0000000Z,BTC-USDT,79233.6,79341.6,79104.5,79320,33.13441318,2628221.65343760
1769904720,2026-02-01T00:12:00.0000000Z,BTC-USDT,79317.1,79355.6,79243.1,79245.1,15.66005337,1240982.495310987
1769904780,2026-02-01T00:13:00.0000000Z,BTC-USDT,79245.1,79298,79127.3,79266,18.92111158,1499800.83050028
1769904840,2026-02-01T00:14:00.0000000Z,BTC-USDT,79265.1,79392.2,79265.1,79349,7.8160802,620198.1477898
1769904900,2026-02-01T00:15:00.0000000Z,BTC-USDT,79346.1,79360,79266,79318.7,3.86140097,306281.305119139
1769904960,2026-02-01T00:16:00.0000000Z,BTC-USDT,79318.1,79422,79285.8,79300.1,8.22997559,652637.887284559
1769905020,2026-02-01T00:17:00.0000000Z,BTC-USDT,79300.1,79321,79258,79264.1,6.63663018,526046.518250538
1769905080,2026-02-01T00:18:00.0000000Z,BTC-USDT,79264.9,79291.3,79200.4,79257,4.44199733,352059.38238381
1769905140,2026-02-01T00:19:00.0000000Z,BTC-USDT,79257,79348,79257,79313.1,6.59546332,523106.641845492
1769905200,2026-02-01T00:20:00.0000000Z,BTC-USDT,79313.1,79318.9,79232.1,79267,8.10831324,642721.66559508
1769905260,2026-02-01T00:21:00.0000000Z,BTC-USDT,79260.5,79260.5,79195.2,79226.9,6.88284723,545306.649206487
1769905320,2026-02-01T00:22:00.0000000Z,BTC-USDT,79222,79250.6,79070,79075.1,4.67711114,369843.031106614
1769905380,2026-02-01T00:23:00.0000000Z,BTC-USDT,79075.1,79079.9,78986,78986.1,4.67105661,368948.544503121
1769905440,2026-02-01T00:24:00.0000000Z,BTC-USDT,78986.1,79028.5,78981.6,78995,2.91065771,229927.40580145
1769905500,2026-02-01T00:25:00.0000000Z,BTC-USDT,78995.1,79010.9,78975,78988.8,2.82000344,222748.687721472
1769905560,2026-02-01T00:26:00.0000000Z,BTC-USDT,78988.1,79144.1,78977,79061.1,2.8524811,225520.29349521
1769905620,2026-02-01T00:27:00.0000000Z,BTC-USDT,79061.1,79112.9,79044.6,79075.4,4.05214771,320425.201027334
1769905680,2026-02-01T00:28:00.0000000Z,BTC-USDT,79077.4,79148.9,79060.7,79130.9,6.30046537,498561.495146933
1769905740,2026-02-01T00:29:00.0000000Z,BTC-USDT,79131,79157.6,79078,79095.4,3.68943224,291817.118795696
1769905800,2026-02-01T00:30:00.0000000Z,BTC-USDT,79095.4,79230.5,79087,79158.1,5.61832315,444735.785740015
1769905860,2026-02-01T00:31:00.0000000Z,BTC-USDT,79158,79158,79036,79036.4,4.70718262,372038.768427368
1769905920,2026-02-01T00:32:00.0000000Z,BTC-USDT,79036.4,79075.9,78985.5,79012.5,5.81087079,459131.428294875
1769905980,2026-02-01T00:33:00.0000000Z,BTC-USDT,79012,79151.9,78994.2,79049,6.21093814,490968.44902886
1769906040,2026-02-01T00:34:00.0000000Z,BTC-USDT,79049.1,79062,78985.5,79002.1,1.95401052,154370.934502092
1769906100,2026-02-01T00:35:00.0000000Z,BTC-USDT,79002.1,79063,78970.8,78993,3.52342322,278325.77041746
1769906160,2026-02-01T00:36:00.0000000Z,BTC-USDT,78994,78994.3,78842,78915.2,6.28295016,495820.268466432
1769906220,2026-02-01T00:37:00.0000000Z,BTC-USDT,78916.6,78928,78846.1,78867.1,3.7557987,296208.95165277
1769906280,2026-02-01T00:38:00.0000000Z,BTC-USDT,78867.1,78876.7,78828.6,78854.6,2.57101169,202736.098410274
1769906340,2026-02-01T00:39:00.0000000Z,BTC-USDT,78854.5,78854.5,78767.1,78778,8.46996036,667246.53724008
1769906400,2026-02-01T00:40:00.0000000Z,BTC-USDT,78778,78820,78756,78756.2,2.54973117,200807.137970754
1769906460,2026-02-01T00:41:00.0000000Z,BTC-USDT,78756.2,78822.2,78756.2,78815,1.98983497,156828.84316055
1769906520,2026-02-01T00:42:00.0000000Z,BTC-USDT,78815,78882.9,78808,78854.1,2.99738638,236356.205347158
1769906580,2026-02-01T00:43:00.0000000Z,BTC-USDT,78854.1,78854.1,78811.4,78837,2.33396678,184002.93903486
1769906640,2026-02-01T00:44:00.0000000Z,BTC-USDT,78837,78846.6,78750.1,78756.9,5.84956539,460693.636463691
1769906700,2026-02-01T00:45:00.0000000Z,BTC-USDT,78756.9,78840.5,78744.6,78825,3.480645,274361.842125
1769906760,2026-02-01T00:46:00.0000000Z,BTC-USDT,78822,78889,78808,78858,2.33070928,183795.07240224
1769906820,2026-02-01T00:47:00.0000000Z,BTC-USDT,78858,78966.9,78829,78952.4,5.2383934,413583.73107416
1769906880,2026-02-01T00:48:00.0000000Z,BTC-USDT,78952.4,78985.5,78928.9,78929,2.07261225,163589.21228025
1769906940,2026-02-01T00:49:00.0000000Z,BTC-USDT,78929,78985.1,78924.6,78959,1.18315782,93420.95830938
